lineups,team,gp,offrtg,defrtg,netrtg,ast_percent,ast_to,ast_ratio,oreb_percent,dreb_percent,reb_percent,to_ratio,efg_percent,ts_percent,pace,pie,lineup_index,t_harris,t_burke,n_pelle,j_richardson,f_korkmaz,m_thybulle,b_simmons,j_ennis_iii,j_embiid,r_neto,z_smith,s_milton,g_robinson_iii,m_scott,k_o_quinn,j_bolden,m_shayok,a_horford,a_burks
".T. Harris, .M. Scott, .J. Ennis III, .J. Embiid, .B. Simmons",PHI,2,109.1,90.9,18.2,100,1,21.4,0,80,50,0.3,66.7,77.3,113.71,54.5,425,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Ennis III, .J. Embiid, .B. Simmons",PHI,2,109.1,90.9,18.2,100,1,21.4,0,80,50,0.3,66.7,77.3,113.71,54.5,425,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Ennis III, .B. Simmons, .F. Korkmaz",PHI,1,50,75,-25,50,0.5,8.3,50,75,60,0.3,25,25,108.68,42.9,424,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Ennis III, .B. Simmons, .F. Korkmaz",PHI,1,50,75,-25,50,0.5,8.3,50,75,60,0.3,25,25,108.68,42.9,424,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Ennis III, .B. Simmons, .F. Korkmaz",PHI,1,50,75,-25,50,0.5,8.3,50,75,60,0.3,25,25,108.68,42.9,424,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Ennis III, .B. Simmons, .F. Korkmaz",PHI,1,50,75,-25,50,0.5,8.3,50,75,60,0.3,25,25,108.68,42.9,424,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .S. Milton, .M. Thybulle",PHI,1,125,100,25,50,0,16.7,33.3,100,50,0,50,50,92.57,52.9,423,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .S. Milton, .M. Thybulle",PHI,1,125,100,25,50,0,16.7,33.3,100,50,0,50,50,92.57,52.9,423,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .S. Milton",PHI,1,100,66.7,33.3,0,0,0,50,0,50,0,0,34.7,110.77,20,422,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Embiid, .J. Richardson, .F. Korkmaz",PHI,3,111.1,66.7,44.4,42.9,1.5,13,22.2,100,61.1,0.1,46.7,55.3,96.78,87.5,421,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
